,MatchID,Player,GameWeek,ForTeam,AgainstTeam,RelativeStrength,Goals,ShotsOnTarget,ShotsInBox,CloseShots,TotalShots,Headers,ShotsCentre,ShotsLeft,ShotsRight,GoalAssists,ShotOnTargetCreated,ShotInBoxCreated,CloseShotCreated,TotalShotCreated,HeadersCreated,CreatedCentre,CreatedLeft,CreatedRight,XG,XA,XGI,Position,Date,BPS,CleanSheet,MinutesPlayed,NetTransfersIn,Points,Price,Saves,SelectedBy
41,58901,Davinson Sanchez,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DEF,2020-09-13,0,0.0,0.0,0,0,5.5,0.0,62607
42,58901,Ryan Sessegnon,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DEF,2020-09-13,0,0.0,0.0,0,0,5.0,0.0,16898
43,58901,Steven Bergwijn,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,MID,2020-09-13,2,0.0,30.0,0,1,7.5,0.0,83611
44,58901,Gedson Fernandes,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,MID,2020-09-13,0,0.0,0.0,0,0,5.0,0.0,6161
45,58901,Japhet Tanganga,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DEF,2020-09-13,0,0.0,0.0,0,0,5.0,0.0,8128
46,58901,Giovani Lo Celso,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,MID,2020-09-13,0,0.0,0.0,0,0,7.0,0.0,55175
47,58901,Oliver Skipp,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,MID,2020-09-13,0,0.0,0.0,0,0,4.5,0.0,2265
48,58901,Tanguy Ndombele,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,MID,2020-09-13,3,0.0,14.0,0,1,6.0,0.0,12879
49,58901,Juan Foyth,1,Tottenham Hotspur,Everton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DEF,2020-09-13,0,0.0,0.0,0,0,4.5,0.0,9137
50,58901,Matt Doherty,1,Tottenham Hotspur,Everton,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.40804597701149425,0.0,0.40804597701149425,DEF,2020-09-13,6,0.0,75.0,0,2,6.0,0.0,1485702
